frequency_hz,total_db,broadband_db,tonal_db
25,3.911560615,3.911560615,-120
25.66401863,3.103958736,3.103958736,-120
26.34567642,3.054524067,3.054524067,-120
27.04543686,3.393250896,3.393250896,-120
27.76378441,3.474262072,3.474262072,-120
28.50121307,2.686680983,2.686680983,-120
29.25822639,2.411205754,2.411205754,-120
30.03534889,2.611039275,2.611039275,-120
30.83311081,3.168739839,3.168739839,-120
31.65206146,3.05183861,3.05183861,-120
32.49276352,1.289460715,1.289460715,-120
33.35579681,-0.3602082932,-0.3602082932,-120
34.24175262,-1.362303971,-1.362303971,-120
35.1512413,-1.194869471,-1.194869471,-120
36.08488464,-2.980591642,-2.980591642,-120
37.04332733,-4.014375203,-4.014375203,-120
38.02722931,-4.140883289,-4.140883289,-120
39.03726196,-3.710286749,-3.710286749,-120
40.07411957,-3.312287809,-3.312287809,-120
41.13851929,-4.445099672,-4.445099672,-120
42.23119354,-4.949932922,-4.949932922,-120
43.3528862,-3.833808198,-3.833808198,-120
44.50437164,-3.536474271,-3.536474271,-120
45.68644333,-3.284154278,-3.284154278,-120
46.89990997,-2.045794519,-2.045794519,-120
48.14560699,-1.076012271,-1.076012271,-120
49.4243927,-2.278662404,-2.278662404,-120
50.73714447,8.997922716,8.997922716,-120
52.08476257,9.915442083,9.915442083,-120
53.46817398,8.904393946,8.904393946,-120
54.88832855,9.49658131,9.49658131,-120
56.34620667,9.34684129,9.34684129,-120
57.84280396,9.091983678,9.091983678,-120
59.37915421,8.853121579,8.853121579,-120
60.95631027,8.423227463,8.423227463,-120
62.57535934,7.780211002,7.780211002,-120
64.2374115,6.712536017,6.712536017,-120
65.94360352,6.963083387,6.963083387,-120
67.69511414,6.433024147,6.433024147,-120
69.4931488,5.860326857,5.860326857,-120
71.33894348,5.378195464,5.378195464,-120
73.23376465,5.805797943,5.805797943,-120
75.1789093,5.9263484,5.9263484,-120
77.17572021,4.392052486,4.392052486,-120
79.22556305,4.248105605,4.248105605,-120
81.32985687,4.30536278,4.30536278,-120
83.49004364,4.008517636,4.008517636,-120
85.70760345,3.579431137,3.579431137,-120
87.98406219,4.162367115,4.162367115,-120
90.32098389,3.114539447,3.114539447,-120
92.71998596,3.73386794,3.73386794,-120
95.18269348,4.54876999,4.54876999,-120
97.71082306,3.893166114,3.893166114,-120
100.3060989,2.114783077,2.114783077,-120
102.9703064,1.689679855,1.689679855,-120
105.7052765,0.9036810974,0.9036810974,-120
108.5128937,-0.07481659088,-0.07481659088,-120
111.3950806,0.4282835027,0.4282835027,-120
114.3538208,0.4063048375,0.4063048375,-120
117.3911438,0.8092698982,0.8092698982,-120
120.5091476,2.503872554,2.503872554,-120
123.7099609,1.272865653,1.272865653,-120
126.9957962,2.641215563,2.641215563,-120
130.3688965,3.436408039,3.436408039,-120
133.831604,3.43917047,3.43917047,-120
137.3862762,3.122415698,3.122415698,-120
141.0353546,4.07396105,4.07396105,-120
144.7813721,5.929906665,5.929906665,-120
148.6268768,5.396982306,5.396982306,-120
152.5745239,3.684114426,3.684114426,-120
156.6270142,1.570395964,1.570395964,-120
160.7871552,1.217110998,1.217110998,-120
165.057785,10.10527789,10.10527789,-120
169.4418488,10.65225404,10.65225404,-120
173.9423523,10.56311316,10.56311316,-120
178.5623932,11.98148044,11.98148044,-120
183.3051453,11.96578687,11.96578687,-120
188.1738739,12.08720818,12.08720818,-120
193.1719208,11.21241666,11.21241666,-120
198.3027191,11.7899654,11.7899654,-120
203.5697937,12.15879747,12.15879747,-120
208.9767609,10.64910599,10.64910599,-120
214.527359,8.777232818,8.777232818,-120
220.2253571,7.862423316,7.862423316,-120
226.0747223,7.824494334,7.824494334,-120
232.0794373,6.963060575,6.963060575,-120
238.2436523,6.646045933,6.646045933,-120
244.5715942,6.474066313,6.474066313,-120
251.0675964,6.953551979,6.953551979,-120
257.736145,6.440612339,6.440612339,-120
264.5818176,7.867420635,7.867420635,-120
271.609314,8.605139464,8.605139464,-120
278.8234863,7.913461566,7.913461566,-120
286.229248,7.425731223,7.425731223,-120
293.8317261,8.719059044,8.719059044,-120
301.6361084,8.938138689,8.938138689,-120
309.6477966,7.71840096,7.71840096,-120
317.8722839,6.974659988,6.974659988,-120
326.3152161,6.288728779,6.288728779,-120
334.9824219,5.794250175,5.794250175,-120
343.8797913,5.768756476,5.768756476,-120
353.0135193,5.671728398,5.671728398,-120
362.3898315,5.642004597,5.642004597,-120
372.0151978,4.774224496,4.774224496,-120
381.8962097,4.299948605,4.299948605,-120
392.0396729,5.775742419,5.775742419,-120
402.4525452,5.912203321,5.912203321,-120
413.1419983,6.291560443,6.291560443,-120
424.1153564,5.408789938,5.408789938,-120
435.380188,5.697703157,5.697703157,-120
446.9442444,6.341440907,6.341440907,-120
458.8154297,27.95999314,6.54837415,27.92850145
471.0019226,37.32237936,4.486667257,37.32011823
483.512085,50.26382193,4.301087216,50.2637119
496.3545532,52.25561653,4.694363587,52.25554038
509.5381165,42.43797359,5.210373856,42.43715122
523.0718384,29.00249,5.233228202,28.98421862
536.9650269,25.39754246,5.648703662,25.35128185
551.2272339,6.861342791,6.861342791,-120
565.8682861,6.186178912,6.186178912,-120
580.8981323,6.198498943,6.198498943,-120
596.3272705,7.671309821,7.671309821,-120
612.1661987,6.888671336,6.888671336,-120
628.4257812,5.372171221,5.372171221,-120
645.1172485,5.776576032,5.776576032,-120
662.2520752,6.116836459,6.116836459,-120
679.842041,5.684306789,5.684306789,-120
697.8991699,6.957398606,6.957398606,-120
716.4359131,7.339319301,7.339319301,-120
735.4649658,8.236648982,8.236648982,-120
754.9995117,7.26388642,7.26388642,-120
775.0528564,6.762940975,6.762940975,-120
795.638916,8.713977643,8.713977643,-120
816.7716675,9.064068285,9.064068285,-120
838.4657593,7.064978941,7.064978941,-120
860.736084,7.369472485,7.369472485,-120
883.5979004,8.171923925,8.171923925,-120
907.0669556,15.05755969,9.586123453,13.60852093
931.1593628,20.31723926,8.930582578,19.98959869
955.8916626,33.12653066,7.357689505,33.11501003
981.2808838,38.93435844,8.3158572,38.93059034
1007.344482,35.0713973,8.928587236,35.06082835
1034.100342,22.84177146,8.093480541,22.69374632
1061.566772,14.92693414,8.983699219,13.65144913
1089.762817,13.31671186,9.577429691,10.93043794
1118.707764,8.285661082,8.285661082,-120
1148.421509,8.626854367,8.626854367,-120
1178.924561,11.22011981,11.22011981,-120
1210.237671,11.22508697,11.22508697,-120
1242.382568,9.41155831,9.41155831,-120
1275.381226,9.209803039,9.209803039,-120
1309.256226,8.606502419,8.606502419,-120
1344.031128,8.915263873,8.454247171,-1.053882088
1379.729614,10.08200561,9.211954123,2.671846485
1416.376343,15.73737578,9.216558382,14.64269489
1453.99646,23.68205596,8.977291473,23.53251385
1492.615723,24.26168562,8.754605388,24.13773199
1532.260742,16.89169169,8.016430947,16.28907565
1572.95874,9.926045894,8.792241345,3.539008805
1614.737793,9.986318183,9.662422542,-1.448415263
1657.626465,8.825211707,8.825211707,-120
1701.654297,8.184085232,8.184085232,-120
1746.851562,8.722312148,8.722312148,-120
1793.249268,10.07609399,10.02072195,-8.896500465
1840.879395,9.974606261,9.817115821,-4.509202125
1889.774536,11.94017383,10.02307136,7.465436704
1939.968506,16.55045926,9.811227634,15.51641804
1991.495483,17.05588002,10.87110056,15.8598683
2044.391235,12.28749549,10.00890243,8.396722254
2098.691895,10.16638559,9.995877104,-3.978972924
2154.43457,9.969141279,9.91874546,-9.409930381
2211.658203,10.0673087,10.03400583,-11.10235769
2270.401611,9.514156596,9.445578168,-8.536055337
2330.705078,9.897021439,9.369992767,0.4766709411
2392.610596,13.65788418,10.04741427,11.1747948
2456.160156,16.23760889,8.971686318,15.33490404
2521.397705,13.74808812,9.027075134,11.96185646
2588.36792,9.964027782,9.250580311,1.767963334
2657.116943,8.685586263,8.561668764,-6.822741883
2727.692139,9.261345042,9.157866523,-7.019632591
2800.141602,10.53274226,10.04013765,0.8359094331
2874.515625,13.30641489,9.618280307,10.88229889
2950.86499,15.80256446,9.839337514,14.5338831
3029.242188,13.47576209,9.866514126,10.99172991
3109.701172,10.65664802,10.13544158,1.190905357
3192.297363,10.61425889,10.51461531,-5.82881761
3277.087158,10.68171339,10.01406409,2.2198054
3364.12915,13.32772651,9.320924989,11.12741105
3453.483154,15.13977923,9.312557126,13.82397062
3545.210205,12.79773462,9.936541542,9.633025914
3639.373779,10.67818448,10.30074872,-0.118579489
3736.03833,11.84081315,11.45531968,1.131819161
3835.270508,14.01788104,11.75507614,10.10412048
3937.138184,15.35590843,11.09349577,13.31634298
4041.71167,13.15808693,10.41385965,9.864343181
4149.0625,10.7616366,10.22354251,1.426106233
4259.265137,11.5662187,10.14704131,6.018459709
4372.394531,14.38448865,10.49391386,12.10575866
4488.528809,14.3031851,10.54564773,11.93023126
4607.747559,12.17558901,11.04935436,5.763079809
4730.132812,12.15707119,11.01098722,5.810945122
4855.768555,14.35901545,11.01446031,11.65907302
4984.741699,14.39044094,11.12790444,11.61852839
5117.140625,12.34057107,11.14092363,6.167239207
5253.055664,13.05394396,11.39249684,8.076693933
5392.581055,15.0939742,12.37938856,11.76634371
5535.812012,14.24852984,12.44068988,9.569677685
5682.847656,13.84853418,12.95687466,6.534476968
5833.788086,14.84554986,12.76838674,10.64514739
5988.738281,14.66847666,12.65225567,10.36683599
6147.803711,13.81485646,12.78639493,7.05480638
6311.094238,14.91578066,13.20816547,10.03597003
6478.72168,15.03684384,13.36200695,10.08818641
